word,code,full_code
забыть,2.3.2.1,2.3.2.1.5.2.
забыться,2.3.2.1,2.3.2.1.2.2.
забыться,2.3.2.2,2.3.2.2.3.2.1.
завернуть,2.3.2.3,2.3.2.3.1.2.1.1.
завести,2.3.2.2,2.3.2.2.2.3.5.2.
завидовать,2.3.2.2,2.3.2.2.2.3.2.1.
завлечь,2.3.2.1,2.3.2.1.4.2.
заворожить,2.3.2.2,2.3.2.2.2.2.1.2.
загадать,2.3.2.1,2.3.2.1.2.5.
загладить,2.3.2.2,2.3.2.2.3.2.2.
загнать,2.3.2.3,2.3.2.3.1.2.2.
загореться,2.3.2.2,2.3.2.2.2.1.1.1.
загореться,2.3.2.3,2.3.2.3.3.
загрустить,2.3.2.2,2.3.2.2.3.4.1.
задать,2.3.2.3,2.3.2.3.1.5.
задержать,2.3.2.3,2.3.2.3.1.3.
задержаться,2.3.2.1,2.3.2.1.2.2.
задеть,2.3.2.2,2.3.2.2.2.1.1.2.
задеть,2.3.2.2,2.3.2.2.2.3.6.2.
задумать,2.3.2.1,2.3.2.1.2.5.
задумать,2.3.2.3,2.3.2.3.1.4.
задуматься,2.3.2.1,2.3.2.1.2.2.
заесть,2.3.2.2,2.3.2.2.2.3.6.2.
зажечь,2.3.2.2,2.3.2.2.2.1.1.2.
зажечься,2.3.2.2,2.3.2.2.2.1.1.1.
заинтересовать,2.3.2.1,2.3.2.1.4.2.
заинтересоваться,2.3.2.1,2.3.2.1.4.2.
заказать,2.3.2.3,2.3.2.3.1.6.2.
закалить,2.3.2.3,2.3.2.3.1.8.
закалиться,2.3.2.3,2.3.2.3.1.8.
закипеть,2.3.2.2,2.3.2.2.2.1.1.1.
заключить,2.3.2.1,2.3.2.1.2.1.
заключить,2.3.2.1,2.3.2.1.2.6.
заключить,2.3.2.1,2.3.2.1.3.3.
закрыть,2.3.2.3,2.3.2.3.1.6.2.
замахнуться,2.3.2.3,2.3.2.3.1.4.
замереть,2.3.2.2,2.3.2.2.4.1.
заметить,2.3.2.1,2.3.2.1.4.1.
заметить,2.3.2.1,2.3.2.1.5.1.
занимать,2.3.2.1,2.3.2.1.4.2.
занять,2.3.2.1,2.3.2.1.4.2.
заняться,2.3.2.1,2.3.2.1.4.2.
запамятовать,2.3.2.1,2.3.2.1.5.2.
запасть,2.3.2.1,2.3.2.1.5.1.
запечатлеть,2.3.2.1,2.3.2.1.5.1.
заподозрить,2.3.2.1,2.3.2.1.2.5.
запомнить,2.3.2.1,2.3.2.1.5.1.
запомниться,2.3.2.1,2.3.2.1.5.1.
запретить,2.3.2.3,2.3.2.3.1.6.2.
запрятать,2.3.2.3,2.3.2.3.1.3.
запугать,2.3.2.2,2.3.2.2.2.3.5.2.
запылать,2.3.2.2,2.3.2.2.2.1.1.1.
заразить,2.3.2.1,2.3.2.1.4.2.
заразиться,2.3.2.2,2.3.2.2.2.2.3.1.1.
заречься,2.3.2.3,2.3.2.3.1.4.
зариться,2.3.2.3,2.3.2.3.3.
засадить,2.3.2.3,2.3.2.3.1.2.1.2.
засадить,2.3.2.3,2.3.2.3.1.3.
заскучать,2.3.2.2,2.3.2.2.3.4.1.
заспать,2.3.2.1,2.3.2.1.5.2.
заставить,2.3.2.3,2.3.2.3.1.3.
застыдиться,2.3.2.2,2.3.2.2.3.5.1.
затаить,2.3.2.2,2.3.2.2.2.1.1.1.
затащить,2.3.2.3,2.3.2.3.1.2.2.
затеять,2.3.2.3,2.3.2.3.1.4.
заткнуть,2.3.2.3,2.3.2.3.1.3.
затребовать,2.3.2.3,2.3.2.3.1.1.
затронуть,2.3.2.2,2.3.2.2.2.3.6.2.
затянуть,2.3.2.3,2.3.2.3.1.2.2.
захватить,2.3.2.1,2.3.2.1.4.2.
зацепить,2.3.2.2,2.3.2.2.2.3.6.2.
зациклиться,2.3.2.1,2.3.2.1.2.2.
зачаровать,2.3.2.2,2.3.2.2.2.2.1.2.
звереть,2.3.2.2,2.3.2.2.2.3.7.1.
злить,2.3.2.2,2.3.2.2.2.3.7.2.
злиться,2.3.2.2,2.3.2.2.2.3.7.1.
злобиться,2.3.2.2,2.3.2.2.2.3.7.1.
злобствовать,2.3.2.2,2.3.2.2.2.3.7.1.
злорадствовать,2.3.2.2,2.3.2.2.2.3.7.1.
знакомиться,2.3.2.1,2.3.2.1.3.1.
знать,2.3.2.1,2.3.2.1.3.1.
знать,2.3.2.1,2.3.2.1.3.2.
игнорировать,2.3.2.1,2.3.2.1.2.6.
идеализировать,2.3.2.1,2.3.2.1.2.6.
идентификация,2.3.2.1,2.3.2.1.3.1.
избрать,2.3.2.3,2.3.2.3.1.4.
изведать,2.3.2.1,2.3.2.1.3.1.
извериться,2.3.2.1,2.3.2.1.6.3.
извести,2.3.2.2,2.3.2.2.2.3.4.2.
изволить,2.3.2.3,2.3.2.3.3.
изгнать,2.3.2.3,2.3.2.3.1.2.1.1.
изголодаться,2.3.2.3,2.3.2.3.3.
издергать,2.3.2.2,2.3.2.2.2.3.5.2.
изжить,2.3.2.3,2.3.2.3.4.
изломать,2.3.2.3,2.3.2.3.1.3.
измаяться,2.3.2.2,2.3.2.2.2.3.4.1.
измотать,2.3.2.2,2.3.2.2.2.3.4.2.
измучить,2.3.2.2,2.3.2.2.2.3.4.2.
измучиться,2.3.2.2,2.3.2.2.2.3.4.1.
измыслить,2.3.2.1,2.3.2.1.2.4.1.
изнывать,2.3.2.2,2.3.2.2.2.3.4.1.
изумить,2.3.2.2,2.3.2.2.2.1.2.2.
изумиться,2.3.2.2,2.3.2.2.2.1.2.1.
изучить,2.3.2.1,2.3.2.1.3.1.
изучить,2.3.2.1,2.3.2.1.3.3.
импонировать,2.3.2.2,2.3.2.2.2.2.3.1.1.
интересовать,2.3.2.1,2.3.2.1.4.2.
интересоваться,2.3.2.1,2.3.2.1.4.2.
интриговать,2.3.2.1,2.3.2.1.4.2.
исповедать,2.3.2.1,2.3.2.1.1.
исповедовать,2.3.2.1,2.3.2.1.1.
исследовать,2.3.2.1,2.3.2.1.3.1.
исстрадаться,2.3.2.2,2.3.2.2.2.3.4.1.
иссушить,2.3.2.2,2.3.2.2.2.3.4.2.
истерзать,2.3.2.2,2.3.2.2.2.3.4.2.
истолковать,2.3.2.1,2.3.2.1.3.3.
истомить,2.3.2.2,2.3.2.2.2.3.4.2.
истомиться,2.3.2.2,2.3.2.2.2.3.4.1.
истосковаться,2.3.2.2,2.3.2.2.3.4.1.
истребовать,2.3.2.3,2.3.2.3.1.1.
истязать,2.3.2.2,2.3.2.2.2.3.4.2.
исходить,2.3.2.1,2.3.2.1.2.1.
казаться,2.3.2.1,2.3.2.1.2.4.1.
казнить,2.3.2.2,2.3.2.2.2.3.4.1.
казнить,2.3.2.2,2.3.2.2.2.3.4.2.
каменеть,2.3.2.2,2.3.2.2.4.1.
каменеть,2.3.2.2,2.3.2.2.4.3.
кипеть,2.3.2.2,2.3.2.2.2.1.1.1.
киснуть,2.3.2.2,2.3.2.2.3.3.1.
клокотать,2.3.2.2,2.3.2.2.2.1.1.1.
колебаться,2.3.2.1,2.3.2.1.2.5.
командовать,2.3.2.3,2.3.2.3.1.1.
концентрироваться,2.3.2.1,2.3.2.1.4.1.
корежить,2.3.2.2,2.3.2.2.2.3.2.2.
коробить,2.3.2.2,2.3.2.2.2.3.2.2.
коситься,2.3.2.2,2.3.2.2.2.3.2.1.
коченеть,2.3.2.2,2.3.2.2.4.1.
краснеть,2.3.2.2,2.3.2.2.3.5.1.
крепнуть,2.3.2.2,2.3.2.2.4.1.
кручиниться,2.3.2.2,2.3.2.2.3.4.1.
крушить,2.3.2.2,2.3.2.2.3.4.2.
кумекать,2.3.2.1,2.3.2.1.2.1.
ладить,2.3.2.3,2.3.2.3.1.4.
ласкать,2.3.2.2,2.3.2.2.3.1.2.
леденеть,2.3.2.2,2.3.2.2.4.1.
леденить,2.3.2.2,2.3.2.2.2.3.5.2.
ликовать,2.3.2.2,2.3.2.2.2.2.1.1.
льстить,2.3.2.2,2.3.2.2.2.2.3.1.2.
любить,2.3.2.2,2.3.2.2.2.2.1.1.
любить,2.3.2.2,2.3.2.2.2.2.2.1.
манить,2.3.2.3,2.3.2.3.3.
маяться,2.3.2.2,2.3.2.2.2.3.4.1.
мерещиться,2.3.2.1,2.3.2.1.2.4.2.
мертветь,2.3.2.2,2.3.2.2.4.1.
метить,2.3.2.3,2.3.2.3.3.
мечтать,2.3.2.1,2.3.2.1.2.4.2.
мириться,2.3.2.3,2.3.2.3.4.
млеть,2.3.2.2,2.3.2.2.3.1.1.
мнить,2.3.2.1,2.3.2.1.2.1.
мниться,2.3.2.1,2.3.2.1.2.4.1.
молиться,2.3.2.2,2.3.2.2.2.2.2.1.
морозить,2.3.2.3,2.3.2.3.1.3.
мрачнеть,2.3.2.2,2.3.2.2.4.2.2.
мудрствовать,2.3.2.1,2.3.2.1.2.2.
мутиться,2.3.2.2,2.3.2.2.4.2.2.
мутнеть,2.3.2.2,2.3.2.2.4.2.2.
мучить,2.3.2.2,2.3.2.2.2.3.4.2.
мучиться,2.3.2.2,2.3.2.2.2.3.4.1.
мыслить,2.3.2.1,2.3.2.1.2.1.
мястись,2.3.2.2,2.3.2.2.2.3.5.1.
наблюдать,2.3.2.1,2.3.2.1.3.1.
наболеть,2.3.2.2,2.3.2.2.3.4.1.
набраться,2.3.2.3,2.3.2.3.1.8.
навалить,2.3.2.3,2.3.2.3.1.5.
навести,2.3.2.3,2.3.2.3.2.2.
нагнать,2.3.2.3,2.3.2.3.1.2.2.
нагрузить,2.3.2.3,2.3.2.3.1.5.
надеяться,2.3.2.1,2.3.2.1.6.4.
надивиться,2.3.2.2,2.3.2.2.2.1.2.1.
надломить,2.3.2.2,2.3.2.2.2.3.4.2.
надоесть,2.3.2.2,2.3.2.2.2.3.2.2.
надуваться,2.3.2.2,2.3.2.2.2.3.6.1.
надумать,2.3.2.3,2.3.2.3.1.4.
нажать,2.3.2.3,2.3.2.3.1.3.
назначить,2.3.2.3,2.3.2.3.1.1.
найти,2.3.2.1,2.3.2.1.2.1.
найти,2.3.2.1,2.3.2.1.3.1.
наказать,2.3.2.3,2.3.2.3.1.1.
налечь,2.3.2.3,2.3.2.3.1.3.
намаяться,2.3.2.2,2.3.2.2.2.3.4.1.
намереваться,2.3.2.3,2.3.2.3.1.4.
наметить,2.3.2.1,2.3.2.1.2.5.
наметить,2.3.2.3,2.3.2.3.1.4.
намучиться,2.3.2.2,2.3.2.2.2.3.4.1.
намылиться,2.3.2.3,2.3.2.3.1.4.
наплевать,2.3.2.2,2.3.2.2.2.3.3.
наполнить,2.3.2.2,2.3.2.2.2.1.1.2.
напомнить,2.3.2.1,2.3.2.1.5.1.
направить,2.3.2.3,2.3.2.3.1.2.1.2.
напустить,2.3.2.3,2.3.2.3.1.2.1.2.
нарадоваться,2.3.2.2,2.3.2.2.2.2.1.1.
насесть,2.3.2.3,2.3.2.3.1.3.
насиловать,2.3.2.3,2.3.2.3.1.3.
наскучить,2.3.2.2,2.3.2.2.2.3.2.2.
насладиться,2.3.2.2,2.3.2.2.2.2.1.1.
насторожиться,2.3.2.2,2.3.2.2.2.3.5.1.
настоять,2.3.2.3,2.3.2.3.1.1.
настрадаться,2.3.2.2,2.3.2.2.2.3.4.1.
настроить,2.3.2.3,2.3.2.3.2.2.
натерпеться,2.3.2.3,2.3.2.3.4.
наткнуться,2.3.2.1,2.3.2.1.3.1.
натолкнуть,2.3.2.3,2.3.2.3.2.2.
натолкнуться,2.3.2.1,2.3.2.1.3.1.
находить,2.3.2.1,2.3.2.1.3.1.
нацелить,2.3.2.3,2.3.2.3.1.5.
начертать,2.3.2.3,2.3.2.3.1.1.
начхать,2.3.2.2,2.3.2.2.2.3.3.
невзлюбить,2.3.2.2,2.3.2.2.2.3.1.
неволить,2.3.2.3,2.3.2.3.1.3.
негодовать,2.3.2.2,2.3.2.2.2.3.7.1.
недолюбливать,2.3.2.2,2.3.2.2.2.3.2.1.
недооценить,2.3.2.1,2.3.2.1.2.6.
недоумевать,2.3.2.2,2.3.2.2.2.1.2.1.
нежить,2.3.2.2,2.3.2.2.3.1.2.
неистовствовать,2.3.2.2,2.3.2.2.2.1.1.1.
ненавидеть,2.3.2.2,2.3.2.2.2.3.1.
нервировать,2.3.2.2,2.3.2.2.2.3.5.2.
нервничать,2.3.2.2,2.3.2.2.2.3.5.1.
никнуть,2.3.2.2,2.3.2.2.3.3.1.
норовить,2.3.2.3,2.3.2.3.3.
нравиться,2.3.2.2,2.3.2.2.2.2.3.1.1.
обалдеть,2.3.2.2,2.3.2.2.2.1.2.1.
обворожить,2.3.2.2,2.3.2.2.2.2.1.2.
обдумать,2.3.2.1,2.3.2.1.2.2.
обезоружить,2.3.2.3,2.3.2.3.1.3.
обезуметь,2.3.2.2,2.3.2.2.4.2.2.
обескуражить,2.3.2.2,2.3.2.2.2.1.2.2.
обеспамятеть,2.3.2.2,2.3.2.2.4.2.2.
обещать,2.3.2.1,2.3.2.1.6.4.
обидеть,2.3.2.2,2.3.2.2.2.3.6.2.
