n_dimensions,n_clusters,mean_ent,n_neighbors,run_id
250,80,0.5658605103183384,5,425
250,81,0.554612349729477,5,426
250,82,0.5520312743889904,5,427
250,83,0.5536853611585729,5,428
250,84,0.5439747676882659,5,429
250,85,0.544186468949261,5,430
250,86,0.5413868181470664,5,431
250,87,0.5407871962493711,5,432
250,88,0.5353261455151007,5,433
250,89,0.5354476865929994,5,434
250,3,0.8532227904465204,10,435
250,4,0.8313931115683633,10,436
250,5,0.7810573601453399,10,437
250,6,0.7950363344475018,10,438
250,7,0.7700146657762976,10,439
250,8,0.7724386547152003,10,440
250,9,0.7508493093238892,10,441
250,10,0.7237647649707638,10,442
250,11,0.733936297708189,10,443
250,12,0.7388732636443308,10,444
250,13,0.7474756834248972,10,445
250,14,0.7381652516417466,10,446
250,15,0.7409621916265877,10,447
250,16,0.7341115751337113,10,448
250,17,0.7298220930595631,10,449
250,18,0.7273243978322501,10,450
250,19,0.7258744810712306,10,451
250,20,0.7198032093592892,10,452
250,21,0.6980670166390178,10,453
250,22,0.6996831891620864,10,454
250,23,0.6927857973254071,10,455
250,24,0.6704537791305057,10,456
250,25,0.6507381895190835,10,457
250,26,0.633363267066283,10,458
250,27,0.6389937261335658,10,459
250,28,0.6304804587773597,10,460
250,29,0.6230848371871047,10,461
250,30,0.6226189092658168,10,462
250,31,0.6166940552919528,10,463
250,32,0.6117542887236921,10,464
250,33,0.6081653087605803,10,465
250,34,0.6151429931592234,10,466
250,35,0.6246647788470362,10,467
250,36,0.6244082218814527,10,468
250,37,0.6214270162836866,10,469
250,38,0.6195230803627328,10,470
250,39,0.6194158290181144,10,471
250,40,0.6207569966376528,10,472
250,41,0.6278146860642411,10,473
250,42,0.6267962823205488,10,474
250,43,0.6186578123324336,10,475
250,44,0.6284830400977988,10,476
250,45,0.6253670295697757,10,477
250,46,0.6211458607051478,10,478
250,47,0.6188165469679436,10,479
250,48,0.6113840744915792,10,480
250,49,0.6112943988379708,10,481
250,50,0.6149274256312884,10,482
250,51,0.6198082547669944,10,483
250,52,0.6154498765596232,10,484
250,53,0.6167118411900437,10,485
250,54,0.6192667283585599,10,486
250,55,0.5854802114536131,10,487
250,56,0.5837409961196506,10,488
250,57,0.5832733791302251,10,489
250,58,0.5810253573026699,10,490
250,59,0.5743793029483173,10,491
250,60,0.5764303797818222,10,492
250,61,0.5724999549145863,10,493
250,62,0.568748032339808,10,494
250,63,0.5615228782227493,10,495
250,64,0.5565326828252415,10,496
250,65,0.5505185604964454,10,497
250,66,0.5546371355218092,10,498
250,67,0.5609497894822583,10,499
250,68,0.5670677532472205,10,500
250,69,0.5730799581566655,10,501
250,70,0.5722776387721233,10,502
250,71,0.570175642858722,10,503
250,72,0.5664673633786024,10,504
250,73,0.569511268543957,10,505
250,74,0.5718616535429366,10,506
250,75,0.5740806589363415,10,507
250,76,0.5717466455678032,10,508
250,77,0.5678979143257341,10,509
250,78,0.5671913536475276,10,510
250,79,0.5682439218370542,10,511
250,80,0.5755445723374494,10,512
250,81,0.570504846442455,10,513
250,82,0.5662491295487997,10,514
250,83,0.5606448685968192,10,515
250,84,0.5622301244978919,10,516
250,85,0.5640930097384333,10,517
250,86,0.5637793866537713,10,518
250,87,0.5673113453964184,10,519
250,88,0.5616696760014906,10,520
250,89,0.5597274252499373,10,521
250,3,0.8674153982311648,20,522
250,4,0.8488564465743564,20,523
250,5,0.8300887069877303,20,524
250,6,0.8081565387508993,20,525
250,7,0.778750517355987,20,526
250,8,0.711417022111642,20,527
250,9,0.724179569774763,20,528
250,10,0.7429875574351568,20,529
250,11,0.7400542889249554,20,530
250,12,0.7068231528068744,20,531
250,13,0.7250832733429667,20,532
250,14,0.6995061991907191,20,533
250,15,0.6998909399753716,20,534
250,16,0.7011134452780161,20,535
250,17,0.6962284385079188,20,536
250,18,0.6921755144809617,20,537
250,19,0.6923394681397683,20,538
250,20,0.6880683491325852,20,539
250,21,0.6787487350872367,20,540
250,22,0.6795671237005755,20,541
250,23,0.6714266929572331,20,542
250,24,0.673958373772038,20,543
250,25,0.674220736715894,20,544
250,26,0.6671938407977117,20,545
250,27,0.6662753254262307,20,546
250,28,0.6621472456172075,20,547
250,29,0.6609655841235285,20,548
250,30,0.6544698034636218,20,549
250,31,0.654058322263997,20,550
250,32,0.6523576194588412,20,551
250,33,0.6484942771618455,20,552
250,34,0.6403027011760385,20,553
250,35,0.6393742168298201,20,554
250,36,0.6417182150881164,20,555
250,37,0.6426145542802084,20,556
250,38,0.6425624657821367,20,557
250,39,0.6345225827153935,20,558
250,40,0.6329325093758617,20,559
250,41,0.6274709498803914,20,560
250,42,0.6335917785249228,20,561
250,43,0.6400196555610311,20,562
250,44,0.6370980785032883,20,563
250,45,0.6342010131181106,20,564
250,46,0.6374844168452959,20,565
250,47,0.6274895128085017,20,566
250,48,0.6223971528488362,20,567
250,49,0.6239772636657148,20,568
250,50,0.6213827958606273,20,569
250,51,0.6109813857596503,20,570
250,52,0.5967645909333736,20,571
250,53,0.5993318752255321,20,572
250,54,0.5952368572750153,20,573
250,55,0.6332872152070168,20,574
250,56,0.6279110261397215,20,575
250,57,0.6254523742570806,20,576
250,58,0.6269549183172319,20,577
250,59,0.6191426541207758,20,578
250,60,0.615541669654072,20,579
250,61,0.6086928321402298,20,580
250,62,0.6062145656217186,20,581
250,63,0.599631284304928,20,582
250,64,0.5970179127287132,20,583
250,65,0.5901182937446844,20,584
250,66,0.5871564773166755,20,585
250,67,0.5843877705626501,20,586
250,68,0.5897607040501923,20,587
250,69,0.5868943838959205,20,588
250,70,0.5810817453129691,20,589
250,71,0.573504517037491,20,590
250,72,0.5671183610570791,20,591
250,73,0.5639714725829226,20,592
250,74,0.5713737135158767,20,593
250,75,0.5664696998746699,20,594
250,76,0.5685436988176564,20,595
250,77,0.563435461196371,20,596
250,78,0.5659607345188868,20,597
250,79,0.5607668035811756,20,598
250,80,0.5590168653845676,20,599
250,81,0.5544913963587836,20,600
250,82,0.5552091130658188,20,601
250,83,0.5524635744301134,20,602
250,84,0.549752497241014,20,603
250,85,0.5480701752620334,20,604
250,86,0.5425376944785185,20,605
250,87,0.543268212612574,20,606
250,88,0.5445781944840651,20,607
250,89,0.5450703135992331,20,608
250,3,0.8574554492064257,100,609
250,4,0.7808515218592633,100,610
250,5,0.8249024419543144,100,611
250,6,0.7720512152721072,100,612
250,7,0.7498268874014116,100,613
250,8,0.7503172349868736,100,614
250,9,0.7440878557116616,100,615
250,10,0.7423691538646814,100,616
250,11,0.7505492011956757,100,617
250,12,0.7430440283049499,100,618
250,13,0.7496818157796366,100,619
250,14,0.7466971604174828,100,620
250,15,0.7440089865152494,100,621
250,16,0.7123108636501139,100,622
250,17,0.7011000884759092,100,623
250,18,0.6818951147740788,100,624
250,19,0.6955971697167509,100,625
250,20,0.7052658127798798,100,626
250,21,0.697363639139541,100,627
250,22,0.7002796684562284,100,628
250,23,0.6928911079159882,100,629
250,24,0.6997475574702036,100,630
250,25,0.6898943935143325,100,631
250,26,0.6954458017482731,100,632
250,27,0.6950059197446123,100,633
250,28,0.6935365012592852,100,634
250,29,0.687452193614723,100,635
250,30,0.6980912739227955,100,636
250,31,0.6849564633512272,100,637
250,32,0.6917821431891028,100,638
250,33,0.6836128637520091,100,639
250,34,0.6639196221073372,100,640
250,35,0.65946493603122,100,641
250,36,0.6615701480641945,100,642
250,37,0.6508444089264829,100,643
250,38,0.669418022227773,100,644
